album_name,track_title,track_n,lyric,line,preprocessed_lyric,emotion
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,There's something 'bout the way,1,'s something 'bout way,fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,The street looks when it's just rained,2,street look 's rained,joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"There's a glow off the pavement, you walk me to the car",3,"'s glow pavement , walk car",joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And you know I wanna ask you to dance right there,4,know wan na ask dance right,joy
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In the middle of the parking lot, yeah",5,"middle parking lot , yeah",sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"Oh, yeah",6,"oh , yeah",anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"We're driving down the road, I wonder if you know",7,"'re driving road , wonder know",sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,I'm trying so hard not to get caught up now,8,'m trying hard get caught,fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"But you're just so cool, run your hands through your hair",9,"'re cool , run hand hair",sadness
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,Absent-mindedly making me want you,10,absent-mindedly making want,anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I don't know how it gets better than this,11,n't know get better,anger
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"You take my hand and drag me head first, fearless",12,"take hand drag head first , fearless",fear
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,And I don't know why but with you I'd dance,13,n't know 'd dance,love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"In a storm in my best dress, fеarless",14,"storm best dress , fеarless",love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"So, baby, drive slow 'til we run out of road in this onе-horse town",15,", baby , drive slow 'til run road onе-horse town",love
Fearless (Taylor’s Version),Fearless (Taylor’s Version),1,"I wanna stay right here, in this passenger's seat",16,"wan na stay right , passenger 's seat",joy
